Material,1 m³,2 m³,3 m³,4 m³,5 m³,6 m³,7 m³,7.5 m³,8 m³,9 m³,10 m³
Wood,178,356,534,712,890,1068,1246,1335,1424,1602,1780
Wood sheet,200,400,600,800,1000,1200,1400,1500,1600,1800,2000
Cardboard,38,76,114,152,190,228,266,285,304,342,380
Plasterboard,238,476,714,952,1190,1428,1666,1785,1904,2142,2380
Mixed/other,225,450,675,900,1125,1350,1575,1688,1800,2025,2250
Metal,63,126,189,252,315,378,441,473,504,567,630
Paper/plastic,38,76,114,152,190,228,266,285,304,342,380
Concrete,900,1800,2700,3600,4500,5400,6300,6750,7200,8100,9000
Sweepings,208,416,624,832,1040,1248,1456,1560,1664,1872,2080
